fid,ID,type,utilFloorArea,name0,name1,name2,name3,name4,name5,name6,name7,name8,name9,idBdTopo,nbHousing,unknownNumberOfHousing,idsEntrance,nbPOI,nbWorkingPlace,nbBuildingSimple,nbEntrances,roomLeft
"1",BuildingGroup9988061716792230,BuildingGroup,4629.1255,32_Rue des Bluets_75111,,,,,,,,,,BATIMENT0000000240756460-BATIMENT0000000240756459,"7","0",Address9488044372909579,"3","4","2","1",1916.1255
"2",BuildingGroup9988061711327978,BuildingGroup,998.75,160_Rue Oberkampf_75111,,,,,,,,,,BATIMENT0000000240757599,"20","0",Address188044264656494,"0","3","1","1",968.75
"3",BuildingGroup9988061709704714,BuildingGroup,124.661,154_Rue Oberkampf_75111,,,,,,,,,,BATIMENT0000000240757594,"4","0",Address4988044264439951,"10","47","1","1",36
"4",BuildingGroup9988061659339312,BuildingGroup,1088.391,20_Rue des Taillandiers_75111,,,,,,,,,,BATIMENT0000000240743994,"10","0",Address9388044390147199,"2","6","1","1",694.391
"5",BuildingGroup9988061612060298,BuildingGroup,1201.1265,8_Cité Joly_75111,,,,,,,,,,BATIMENT0000000240756639,"14","0",Address6388044403150296,"4","11","1","1",693.12646
"6",BuildingGroup9988061610264097,BuildingGroup,12510.955,104_Avenue de la République_75111,125_Rue du Chemin Vert_75111,,,,,,,,,BATIMENT0000000240756655-BATIMENT0000000240756646-BATIMENT0000000240756656-BATIMENT0000000240756634,"6","0",Address7588044396261961__Address6588044279142737,"17","32","4","2",7828.955
"7",BuildingGroup9988061365289491,BuildingGroup,440.47003,3_Passage Courtois_75111,,,,,,,,,,BATIMENT0000000240756174,"16","0",Address2288044353214397,"0","4","1","1",440.47003
"8",BuildingGroup9988061330310612,BuildingGroup,3662.0127,11_Rue Darboy_75111,163_Rue Saint-maur_75111,,,,,,,,,BATIMENT0000000240757476,"0","0",Address8888044299525496__Address088044326687459,"2","3","1","2",0
"9",BuildingGroup9988061200663440,BuildingGroup,1233.3501,23_Rue de la Forge Royale_75111,,,,,,,,,,BATIMENT0000000240744075-BATIMENT0000000240744073,"27","0",Address3388044300018465,"3","12","2","1",706.3501
"10",BuildingGroup9988061184968239,BuildingGroup,1670.5476,78_Rue de Charonne_75111,,,,,,,,,,BATIMENT0000000240744329,"12","0",Address8488044260756171,"6","11","1","1",242.5476
"11",BuildingGroup9988061141245067,BuildingGroup,41.692505,43_C_Rue Servan_75111,,,,,,,,,,BATIMENT0000000240756595,"1","0",Address7788044371676243,"0","0","1","1",41.692505
"12",BuildingGroup9988060746030124,BuildingGroup,984.39777,19_Rue Chanzy_75111,,,,,,,,,,BATIMENT0000000240744365,"16","0",Address2788044343051779,"2","6","1","1",297.39777
"13",BuildingGroup9988060437733183,BuildingGroup,1048.5983,106_Rue de la Roquette_75111,,,,,,,,,,BATIMENT0000000240755772,"20","0",Address3288044286378644,"4","4","1","1",592.59827
"14",BuildingGroup9988060387258689,BuildingGroup,1236.291,77_Rue du Chemin Vert_75111,,,,,,,,,,BATIMENT0000000240756835,"32","0",Address8488044396607468,"3","6","1","1",706.291
"15",BuildingGroup9988060277979925,BuildingGroup,3610.5793,35_BIS_Rue Saint-sabin_75111,37_Rue Saint-sabin_75111,,,,,,,,,BATIMENT0000000245186047,"19","0",Address5688044394604233__Address2488044394664796,"9","20","1","2",1080.5793
"16",BuildingGroup9988060212244735,BuildingGroup,5997.566,42_Rue Alexandre Dumas_75111,,,,,,,,,,BATIMENT0000000240749121-BATIMENT0000000240749120,"16","0",Address3488044280600304,"2","7","2","1",5383.566
"17",BuildingGroup9988060063497605,BuildingGroup,871.029,87_Rue Jean-pierre Timbaud_75111,,,,,,,,,,BATIMENT0000000240757941,"15","0",Address6188044419987149,"1","6","1","1",660.029
"18",BuildingGroup9988059516873838,BuildingGroup,1055.6746,92_Boulevard Beaumarchais_75111,,,,,,,,,,BATIMENT0000000245186269,"6","0",Address3788044329231336,"7","20","1","1",54
"19",BuildingGroup9988059413442775,BuildingGroup,1701.4918,28_Rue de Malte_75111,21_Rue Jean-pierre Timbaud_75111,,,,,,,,,BATIMENT0000000245187361,"13","0",Address7188044351900235__Address6488044420703629,"8","24","1","2",117
"20",BuildingGroup9988059319729634,BuildingGroup,74.8,5_BIS_Rue de Tunis_75111,,,,,,,,,,BATIMENT0000000240748846,"0","0",Address1188044270823972,"0","0","1","1",74.8
"21",BuildingGroup9988059313615717,BuildingGroup,1847.0841,100_Rue de Montreuil_75111,11_Avenue de Bouvines_75111,,,,,,,,,BATIMENT0000000240748087,"30","0",Address5588044314875657__Address8288044411419085,"12","22","1","2",217.0841
