fid,batiment_c,batiment_g,code_depar,code_iris,code_commu,s_geom_cst,hauteur,altitude_s,fictive_ge
5,BATIMENT0000000240747805-2,75111000CL0129_4fa62d2e1d35454,"75","751114411","75056","14",17.100000000000001,54.700000000000003,"0"
40,BATIMENT0000000240756489-2,75111000AY0075_1f0ac083aa6cecb,"75","751114204","75056","122",17.800000000000001,45.000000000000000,"0"
41,BATIMENT0000000240756488-2,75111000AY0076_41b6c5565f1a771,"75","751114204","75056","123",18.000000000000000,44.899999999999999,"0"
43,BATIMENT0000000240748541-2,75111000CR0056_3c8048c1ec9384f,"75","751114409","75056","135",17.899999999999999,47.399999999999999,"0"
45,BATIMENT0000000240748543-2,75111000CR0057_8268005211065bd,"75","751114409","75056","135",17.100000000000001,48.100000000000001,"0"
111,u09tyq71x23w4h157etp75111000BR0053,75111000BR0053_e170fb16291be97,"75","751114302","75056",,6.000000000000000,,"1"
112,u09tvyq1hjqvdmub1bkr75111000BE0078,75111000BE0078_8e2f40386a0abe8,"75","751114207","75056",,18.000000000000000,,"1"
115,u09tynt0dud9s4h94mpz75111000BE0113,75111000BE0113_8ad96c0112b8cfe,"75","751114317","75056",,15.000000000000000,,"1"
158,u09tynjc8z8n8czkmqsm75111000BV0109,75111000BV0109_eb86d3673268560,"75","751114306","75056",,15.000000000000000,,"1"
169,u09tykfr38984903p9ds75111000CT0176,75111000CT0176_9d35e66724cb742,"75","751114408","75056",,12.000000000000000,,"1"
184,u09tyn5mrxzj9pc947tn75111000BK0115,75111000BK0115_80e1ace95f750b2,"75","751114316","75056",,5.000000000000000,,"1"
194,u09tyjjpxnr2bfm653u175111000CV0227,75111000CV0227_dcda7f8b875fa81,"75","751114405","75056",,18.000000000000000,,"1"
211,u09typzh1hsywve3mt7375111000AV0146,75111000AV0146_1c624860360a38e,"75","751114201","75056",,15.000000000000000,,"1"
260,u09typy9y69ncvbjrs0575111000AV0117,75111000AV0117_15c3d9d01cf905e,"75","751114201","75056",,6.000000000000000,,"1"
273,u09tynb95gzwsqjzys33uf751110005560,uf751110005560_f2816be94fef9ad,"75","751114206","75056",,5.000000000000000,,"1"
287,u09typydjpp1trnqk6r275111000AV0116,75111000AV0116_be5d5dd2e79611a,"75","751114201","75056",,5.000000000000000,,"1"
324,u09tvvvrd9fwudjq63nr75111000BH0013,75111000BH0013_b7ee222f306f3a5,"75","751114313","75056",,18.000000000000000,,"1"
339,u09tvvxfpd3b6h85emwj75111000CC0110,75111000CC0110_a6055c66505de1d,"75","751114311","75056",,9.000000000000000,,"1"
340,u09tvyjc6ezhm44ceub275111000BH0019,75111000BH0019_af618e1a7917887,"75","751114313","75056",,27.000000000000000,,"1"
354,u09tyq7295ff8j8b033w75111000BR0055,75111000BR0055_b925f71eaa2be83,"75","751114302","75056",,6.000000000000000,,"1"
367,u09tvywdbnde7ekfs5kr75111000BE0052,75111000BE0052_8695d015450934e,"75","751114207","75056",,15.000000000000000,,"1"
448,u09typz2q3g09gbqgr1w75111000AV0108,75111000AV0108_7f087b0b26c703a,"75","751114201","75056",,12.000000000000000,,"1"
458,u09tyjj6s2km8c75qdc775111000CV0221,75111000CV0221_51c256f8d531137,"75","751114406","75056",,6.000000000000000,,"1"
460,u09typwyd6xs1q53yj3c75111000AV0140,75111000AV0140_d0615ccd3bbf178,"75","751114201","75056",,6.000000000000000,,"1"
519,u09tyq5322q44zktu65e75111000BS0040,75111000BS0040_de0a318f97a1081,"75","751114302","75056",,5.000000000000000,,"1"
543,u09typy9rs3pvm9nvec475111000AV0118,75111000AV0118_b4ae0b06d96e525,"75","751114201","75056",,6.000000000000000,,"1"
546,u09typyb742wdmjuk6y975111000AV0120,75111000AV0120_6c55fa516450b3c,"75","751114201","75056",,9.000000000000000,,"1"
563,u09typ0k273jd274nnz375111000AR0128,75111000AR0128_0249a0829068a35,"75","751114210","75056",,18.000000000000000,,"1"
595,u09tyq5qurdjesx5vx1s75111000BR0058,75111000BR0058_d330e32aa065cd0,"75","751114302","75056",,6.000000000000000,,"1"
651,u09typy96w4funsdu8dv75111000AV0144,75111000AV0144_9c720b69550cd2b,"75","751114201","75056",,5.000000000000000,,"1"
704,u09tvyjub5nukr6zrrqc75111000BH0023,75111000BH0023_8b335f03230e528,"75","751114313","75056",,21.000000000000000,,"1"
1017,BATIMENT0000000240748251-1,75111000CK0136_55c90fb6924789e,"75","751114411","75056","45",26.300000000000001,41.899999999999999,"0"
1056,BATIMENT0000000240748706-2,75111000CK0003_d2209d132d66a49,"75","751114412","75056",,5.000000000000000,39.100000000000001,"1"
1069,BATIMENT0000000240748240-1,75111000CK0210_2da1c7d8d92f206,"75","751114411","75056","23",22.300000000000001,40.200000000000003,"0"
1081,BATIMENT0000000240747785-1,75111000CL0109_c064e2321a22b79,"75","751114411","75056","21",19.500000000000000,50.200000000000003,"0"
1094,BATIMENT0000000240747985-2,75111000CN0040_dd6a62cd12f78ca,"75","751114401","75056","102",4.600000000000000,52.899999999999999,"0"
1146,BATIMENT0000000240747804-1,75111000CL0125_72b03d449940f6a,"75","751114411","75056","50",21.899999999999999,49.399999999999999,"0"
1160,BATIMENT0000000000159114-1,75111000AA0063_e5212ea71e8bcb1,"75","751114107","75056","83",4.200000000000000,37.000000000000000,"0"
1161,BATIMENT0000000245187970-1,75111000AA0063_e5212ea71e8bcb1,"75","751114107","75056",,5.000000000000000,36.700000000000003,"1"
1162,BATIMENT0000000240757751-1,75111000AE0027_85156ad58620bd6,"75","751114109","75056",,5.000000000000000,43.000000000000000,"1"
1163,BATIMENT0000000331452195-1,75111000AH0018_d75330acd9ee880,"75","751114112","75056","81",8.100000000000000,47.799999999999997,"0"
1164,BATIMENT0000000331452196-1,75111000AH0018_d75330acd9ee880,"75","751114112","75056","267",9.000000000000000,47.799999999999997,"0"
1165,BATIMENT0000000240758241-2,75111000AH0033_060e58c298c8ed9,"75","751114111","75056","150",16.199999999999999,51.000000000000000,"0"
