batiment_c,batiment_g,bdtopo
BATIMENT0000000049603363-1,24322000AE0037_70cd6c3a546fcfb,BATIMENT0000000049603363
BATIMENT0000000049606458-1,24322000AK0459_1ca0b6299825eb1,BATIMENT0000000049606458
BATIMENT0000000049606504-2,24322000AI0196_b28a160e4aaf12c,BATIMENT0000000105319101
BATIMENT0000000049606623-3,24322000AE0082_541ea8f532e62a5,BATIMENT0000000295385357
BATIMENT0000000049606625-1,24322000AE0081_8e0a74f43ca27e8,BATIMENT0000000049606625
BATIMENT0000000049609855-2,24322000AX0134_ede23e01fb956e3,BATIMENT0000000049609855
BATIMENT0000000049609867-1,24322000AX0116_97099c3b30136a0,BATIMENT0000000049609867
BATIMENT0000000049609867-2,24322000AX0117_d3e94c7e950b533,BATIMENT0000000049609867
BATIMENT0000000049609872-1,24322000AT0151_34ee74ef865905f,BATIMENT0000000049609872
BATIMENT0000000049609886-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000049609931-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000049610020-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000049610280-2,uf243220419275_8b5e752257b7c70,BATIMENT0000000049610280
BATIMENT0000000049610481-1,24322000AM0253_f090262fc2b1bce,BATIMENT0000000049610481
BATIMENT0000000049610514-1,uf243220339118_9e1e4753a08c8f2,BATIMENT0000000049610514
BATIMENT0000000049610529-1,24322000AM0284_d8f723456f93571,BATIMENT0000000049610529
BATIMENT0000000049610585-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000049611019-1,uf243220171267_8ac4e2872cb7cf0,BATIMENT0000002004969125
BATIMENT0000000049611083-1,24322000AB0231_0a561c61b37a131,BATIMENT0000000049611083
BATIMENT0000000049611083-2,24322000AB0232_de63910f4a69e6e,BATIMENT0000000049611083
BATIMENT0000000049614392-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000049614446-1,uf243220171296_63c267b6fab7d8b,BATIMENT0000000295374700
BATIMENT0000000049614501-2,uf243220171944_1865d2482be156e,BATIMENT0000000049614501
BATIMENT0000000049614577-1,uf243220444985_2c1a8bb14a1ff7a,BATIMENT0000000049614577
BATIMENT0000000049615003-1,uf243220473747_7512e77c22cb122,BATIMENT0000000295380143
BATIMENT0000000049615024-1,24322000BC0314_cc3ef45228f6e9b,BATIMENT0000000049615024
BATIMENT0000000049615026-2,uf243220172231_ebd33391d53e8fc,BATIMENT0000000049615026
BATIMENT0000000049615073-1,24322000AN0090_6ea7ff07f954343,BATIMENT0000000049615073
BATIMENT0000000049615386-1,24322000AN0140_f5d3ceb51287507,BATIMENT0000000331865010
BATIMENT0000000049618452-1,uf243220171369_958c06211b86b37,BATIMENT0000000295384001
BATIMENT0000000049618461-1,24322000BP0370_c13b88d12675fbe,BATIMENT0000000049618461
BATIMENT0000000049618503-1,24322000BP0589_9e93ef824a36e05,BATIMENT0000000049618503
BATIMENT0000000049618678-1,24322000BR0830_d7a58d351a0ddc9,BATIMENT0000000295374162
BATIMENT0000000049618850-1,24322000BR0830_d7a58d351a0ddc9,BATIMENT0000000295374162
BATIMENT0000000049618852-1,uf243220473821_d0c85cc2d45f5a5,BATIMENT0000000331865833
BATIMENT0000000049618891-1,24322000BP0275_dc897e39b40771a,BATIMENT0000000049618891
BATIMENT0000000049619040-1,24322000BS0090_850d2717940662d,BATIMENT0000000049619040
BATIMENT0000000049619218-1,24322000AZ0825_e1eda612f0389da,BATIMENT0000000049619218
BATIMENT0000000049619340-4,24322000AZ0548_829184792b36fe4,BATIMENT0000000295377964
BATIMENT0000000049619451-1,24322000BD0338_5b01c38cb382e37,BATIMENT0000000295377963
BATIMENT0000000049619539-1,uf243220171581_59af1a8a9c02560,BATIMENT0000000295378973
BATIMENT0000000049622388-10,24322000BS0145_fcddde950ea6883,BATIMENT0000000049622388
BATIMENT0000000049622388-16,24322000BS0212_0d69c117722a766,BATIMENT0000000049622388
BATIMENT0000000049622388-24,uf243220171623_9c46313d8edf3fa,BATIMENT0000000049622388
BATIMENT0000000049622388-25,uf243220172423_c43d196afece5e7,BATIMENT0000000049622388
BATIMENT0000000049622388-26,uf243220444995_06a06a85b1e90be,BATIMENT0000000049622388
BATIMENT0000000049622388-9,24322000BS0141_8b0106467a59d2e,BATIMENT0000000049622388
BATIMENT0000000049622524-3,24322000BS0157_b893cdb83c0ae99,BATIMENT0000000049622524
BATIMENT0000000049622663-1,24322000BI0120_78c8b846c095af0,BATIMENT0000000295372748
BATIMENT0000000049622702-1,24322000BH0224_ceab9a9d14a5b90,BATIMENT0000000295372491
BATIMENT0000000049622752-2,24322000BH0100_0b7a8c4bb492b85,BATIMENT0000000049622752
BATIMENT0000000049622768-1,24322000BI0120_78c8b846c095af0,BATIMENT0000000295372748
BATIMENT0000000105318799-1,24322000AM0067_d66b6676f0725cd,BATIMENT0000000105318799
BATIMENT0000000105318832-1,24322000AI0106_ea78d2100fa667f,BATIMENT0000000105318832
BATIMENT0000000105318883-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000105318894-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000105318933-1,24322000AI0196_b28a160e4aaf12c,BATIMENT0000000105319101
BATIMENT0000000105318938-1,uf243220171543_835a78daa05d23e,BATIMENT0000000331865525
BATIMENT0000000105318999-1,uf243220171581_59af1a8a9c02560,BATIMENT0000000295378973
BATIMENT0000000105319056-1,24322000BE0118_c125550c49f567a,BATIMENT0000000105319056
BATIMENT0000000105319056-2,24322000BE0306_5f7eab1152966b0,BATIMENT0000000105319056
BATIMENT0000000105319101-3,24322000AI0196_b28a160e4aaf12c,BATIMENT0000000105319101
BATIMENT0000000105319117-2,24322000AK0634_7bb1ee35e2f1689,BATIMENT0000000105319117
BATIMENT0000000105319135-1,uf243220473747_7512e77c22cb122,BATIMENT0000000295380143
BATIMENT0000000105323308-1,24322000AB0025_274f3054c65f680,BATIMENT0000000105323308
BATIMENT0000000244525329-1,uf243220339028_f5f5e1d300fed6f,BATIMENT0000000295380652
BATIMENT0000000244525338-1,24322000AX0341_d99288cba6c0982,BATIMENT0000000244525338
BATIMENT0000000244525340-2,uf243220171302_7ff3ac8a7685d44,BATIMENT0000000295371284
BATIMENT0000000244525373-1,uf243220171178_13ef52e275bab16,BATIMENT0000002205048195
BATIMENT0000000244525390-3,uf243220473888_275a3032cde1b75,BATIMENT0000000244525390
BATIMENT0000000244525394-1,24322000AK0738_65c68970c7702b2,BATIMENT0000000244525394
BATIMENT0000000244525407-1,24322000AW0115_8df4ff7e4612648,BATIMENT0000000295371505
BATIMENT0000000244525431-1,uf243220339060_0a66efcb29d8354,BATIMENT0000000244525431
BATIMENT0000000244525439-1,uf243220171182_16bd96b7475e0da,BATIMENT0000000295374106
BATIMENT0000000244525452-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000244525454-1,24322000AR0792_5d2db9f1ab3d4a9,BATIMENT0000000244525454
BATIMENT0000000244525500-1,uf243220171296_63c267b6fab7d8b,BATIMENT0000000295374700
BATIMENT0000000244525510-3,24322000AX0281_be9e95b4d917916,BATIMENT0000000244525510
BATIMENT0000000244525519-3,uf243220172035_2f3d6c7a5b09336,BATIMENT0000000295381438
BATIMENT0000000244525521-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000244525539-1,24322000BR0630_4eb05d96e3c62e7,BATIMENT0000000244525539
BATIMENT0000000244525546-1,24322000AL0179_9aeefc79f81baa5,BATIMENT0000000244525546
BATIMENT0000000244525572-1,24322000AX0523_d5e187f580b647d,BATIMENT0000000295370892
BATIMENT0000000244525575-4,uf243220419398_437228d08b9ceff,BATIMENT0000000295374833
BATIMENT0000000244525589-2,24322000AR0835_18aa78b205a9eed,BATIMENT0000000244525589
BATIMENT0000000244525600-1,24322000AY0224_9ad19491b604611,BATIMENT0000000295382459
BATIMENT0000000244525604-2,24322000AX0140_34bfa822e070a8a,BATIMENT0000000244525604
BATIMENT0000000244525622-1,uf243220171551_95962cc49f4a87b,BATIMENT0000000244525622
BATIMENT0000000244525626-1,uf243220419263_514527fa899efa6,BATIMENT0000000331865618
BATIMENT0000000244525649-1,uf243220339029_724c657bfee5a01,BATIMENT0000000295382462
BATIMENT0000000244525665-1,24322000AR0806_cbc7c7bf5718dd8,BATIMENT0000000244525665
BATIMENT0000000244537134-1,uf243220396595_020adaeef5b77c9,BATIMENT0000000244537134
BATIMENT0000000244537175-1,24322000AI0095_300820f190ca447,BATIMENT0000000244537175
BATIMENT0000000244536941-1,24322000AH0174_0d75751f453d109,BATIMENT0000000244536597
BATIMENT0000000244536966-2,24322000AN0051_605c12a2e217bcf,BATIMENT0000000295379739
BATIMENT0000000244536966-3,24322000AN0052_eb2723b034c8fa5,BATIMENT0000000295379740
BATIMENT0000000244537054-1,uf243220373126_daef8637ab9554d,BATIMENT0000000244537054
BATIMENT0000000244537075-1,uf243220172243_0c515e048775422,BATIMENT0000000244537075
BATIMENT0000000244537079-1,uf243220172478_7e1adf1f6c6b704,BATIMENT0000000244537079
BATIMENT0000000244524877-1,24322000BR0688_acec6326e18f13b,BATIMENT0000000244524877
BATIMENT0000000244524878-2,24322000BK0095_6b97d0228306f07,BATIMENT0000000295373420
BATIMENT0000000244524926-1,24322000BR0830_d7a58d351a0ddc9,BATIMENT0000000295374162
BATIMENT0000000244525008-1,uf243220172471_2fb6590e731a9d3,BATIMENT0000000295375436
BATIMENT0000000244525023-2,24322000BP0375_301727b75b35867,BATIMENT0000000295373201
BATIMENT0000000244525027-1,uf243220171369_958c06211b86b37,BATIMENT0000000295384001
BATIMENT0000000244525205-3,24322000AM0331_2fe79d8503c162a,BATIMENT0000000244525205
BATIMENT0000000244525215-1,24322000BC0248_c29d7ab4f920865,BATIMENT0000000295377851
BATIMENT0000000244525231-1,24322000AM0351_11110c6e046e3bf,BATIMENT0000000295381835
BATIMENT0000000244525253-2,24322000AK0147_f184b390454af6a,BATIMENT0000000244525253
BATIMENT0000000244525269-2,24322000AR0711_bc59d9e96aa3f3a,BATIMENT0000000295381897
BATIMENT0000000244525279-2,24322000AK0145_8e87bcfa47e2b4c,BATIMENT0000000244525279
BATIMENT0000000244525281-3,24322000AL0295_1b8ed2e9a6f7bf3,BATIMENT0000000295380923
BATIMENT0000000244525286-1,24322000AX0107_c8b19cae870eed9,BATIMENT0000000244525286
BATIMENT0000000244525291-1,uf243220339029_724c657bfee5a01,BATIMENT0000000295382462
BATIMENT0000000244525297-1,24322000AX0613_a6622a8c9011fc3,BATIMENT0000000244525297
BATIMENT0000000244525305-3,uf243220339025_9f10cb103688055,BATIMENT0000000244525305
BATIMENT0000000244536822-1,uf243220473747_7512e77c22cb122,BATIMENT0000000295380143
BATIMENT0000000244536831-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536835-1,24322000AO0022_1c008f77e3e998a,BATIMENT0000000244536835
BATIMENT0000000244536837-1,24322000AH0072_7855c954abcae3a,BATIMENT0000000244536697
BATIMENT0000000244536838-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536845-1,24322000AH0176_c0f847cda7e3665,BATIMENT0000000244536601
BATIMENT0000000244536853-1,24322000AH0072_7855c954abcae3a,BATIMENT0000000244536697
BATIMENT0000000244536886-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536887-1,uf243220473747_7512e77c22cb122,BATIMENT0000000295380143
BATIMENT0000000244536892-1,uf243220473747_7512e77c22cb122,BATIMENT0000000295380143
BATIMENT0000000244536893-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
BATIMENT0000000244536895-1,24322000AH0176_c0f847cda7e3665,BATIMENT0000000244536601
BATIMENT0000000244536913-1,24322000AH0072_7855c954abcae3a,BATIMENT0000000244536697
BATIMENT0000000244536919-1,24322000AM0083_28ee5138003d959,BATIMENT0000000244536919
BATIMENT0000000244536923-1,uf243220419306_8d4c008e0632296,BATIMENT0000002275219450
BATIMENT0000000244536929-1,24322000AN0041_6c24af2c7ff9f53,BATIMENT0000002100034625
