fid,ID,type,number,suffix,nameStreet,irisCode,typ_loc,source
"1",Address8488044419846457,Address,"10",,Rue Jean-pierre Timbaud,"75111",entrance,ign
"2",Address6588044418371924,Address,"4",,Impasse Lamier,"75111",entrance,ign
"3",Address9888044417882217,Address,"4",,Rue Guénot,"75111",parcel,dgfip
"4",Address2688044417064934,Address,"96",,Avenue Parmentier,"75111",entrance,ign
"5",Address6588044415697298,Address,"75",BIS,Avenue Parmentier,"75111",entrance,ign
"6",Address9788044414319333,Address,"114",,Avenue Parmentier,"75111",parcel,dgfip
"7",Address6288044413015577,Address,"17",,Rue Jean Macé,"75111",entrance,ign
"8",Address8988044410717519,Address,"12",,Boulevard du Temple,"75111",entrance,ign
"9",Address8688044409728644,Address,"23",,Rue Lacharrière,"75111",entrance,ign
"10",Address2888044408916257,Address,"11",,Avenue Jean Aicard,"75111",parcel,dgfip
"11",Address488044408752960,Address,"3",,Passage de la Fonderie,"75111",parcel,dgfip
"12",Address8588044406948061,Address,"19",,Boulevard de Belleville,"75111",entrance,ign
"13",Address6088044404004614,Address,"6",,Passage du Cheval Blanc,"75111",entrance,ign
"14",Address4888044401871464,Address,"12",,Rue Gambey,"75111",entrance,ign
"15",Address6188044401224330,Address,"99",,Avenue Ledru Rollin,"75111",entrance,ign
"16",Address3588044397799092,Address,"147",BIS,Rue du Chemin Vert,"75111",entrance,ign
"17",Address2888044396507450,Address,"128",,Rue du Chemin Vert,"75111",parcel,dgfip
"18",Address388044394878975,Address,"45",,Rue Saint-sabin,"75111",entrance,ign
"19",Address1688044394070203,Address,"1",,Rue Saint-sabin,"75111",entrance,ign
"20",Address7388044393567107,Address,"8",BIS,Rue Morand,"75111",entrance,ign
"21",Address4488044392572962,Address,"7",,Boulevard de Charonne,"75111",parcel,dgfip
"22",Address7588044390543089,Address,"8",,Rue des Taillandiers,"75111",parcel,dgfip
"23",Address2088044387353505,Address,"1",,Rue Auguste Barbier,"75111",parcel,dgfip
"24",Address3088044387181840,Address,"4",,Rue Moret,"75111",entrance,ign
"25",Address4388044387082505,Address,"30",,Rue Moret,"75111",parcel,dgfip
"26",Address9388044386123804,Address,"92",,Rue Léon Frot,"75111",entrance,ign
"27",Address5288044385524652,Address,"60",,Rue Léon Frot,"75111",entrance,ign
"28",Address5588044384055854,Address,"1",,Rue Léon Frot,"75111",parcel,dgfip
"29",Address788044382960596,Address,"6",,Rue Pelée,"75111",entrance,ign
"30",Address5788044382546167,Address,"43",,Rue de Lappe,"75111",parcel,dgfip
"31",Address688044382372122,Address,"37",,Rue de Lappe,"75111",parcel,dgfip
"32",Address5688044381515231,Address,"17",,Rue de Lappe,"75111",entrance,ign
"33",Address3288044381338179,Address,"10",,Rue de Lappe,"75111",parcel,dgfip
"34",Address5488044380070035,Address,"36",,Rue de la Folie-régnault,"75111",entrance,ign
"35",Address9788044379797833,Address,"25",,Rue de la Folie-régnault,"75111",parcel,dgfip
"36",Address2988044377930109,Address,"24",,Rue Paul Bert,"75111",parcel,dgfip
"37",Address6388044377752510,Address,"18",,Rue Paul Bert,"75111",entrance,ign
"38",Address788044377675135,Address,"15",,Rue Paul Bert,"75111",parcel,dgfip
"39",Address5188044376421291,Address,"6",,Rue Nicolas Appert,"75111",entrance,ign
"40",Address9588044373883451,Address,"4",,Passage Salarnier,"75111",entrance,ign
"41",Address9888044371635205,Address,"43",A,Rue Servan,"75111",entrance,ign
"42",Address6688044371285508,Address,"3",,Rue Servan,"75111",entrance,ign
"43",Address8188044357544924,Address,"5",,Cité de la Roquette,"75111",entrance,ign
"44",Address588044357239420,Address,"65",,Avenue Philippe-auguste,"75111",parcel,dgfip
"45",Address3088044355983911,Address,"22",,Avenue Philippe-auguste,"75111",parcel,dgfip
"46",Address8188044351122268,Address,"8",,Rue du Général Renault,"75111",parcel,dgfip
"47",Address4788044350600494,Address,"6",,Passage de la Folie-régnault,"75111",entrance,ign
"48",Address2888044350159666,Address,"17",,Rue Desargues,"75111",parcel,dgfip
"49",Address2488044348246624,Address,"48",,Rue de la Folie-méricourt,"75111",parcel,dgfip
"50",Address088044345506922,Address,"6",,Rue Boulle,"75111",entrance,ign
"51",Address388044343275059,Address,"16",,Rue du Général Guilhem,"75111",entrance,ign
"52",Address1788044342538300,Address,"39",,Rue Chanzy,"75111",entrance,ign
"53",Address9488044340395800,Address,"84",,Passage Saint-sébastien,"75111",entrance,ign
"54",Address988044339891773,Address,"5",,Passage Saint-bernard,"75111",entrance,ign
"55",Address2588044339343827,Address,"4",BIS,Cité Voltaire,"75111",parcel,dgfip
"56",Address3488044338867248,Address,"21",,Rue Faidherbe,"75111",parcel,dgfip
"57",Address8688044335900169,Address,"2",,Rue de Nemours,"75111",entrance,ign
"58",Address6388044335783618,Address,"8",,Rue Merlin,"75111",entrance,ign
"59",Address8188044334456685,Address,"5",,Passage Thièré,"75111",entrance,ign
"60",Address2488044333122841,Address,"8",,Cité du Couvent,"75111",entrance,ign
"61",Address3388044333097636,Address,"4",,Cité du Couvent,"75111",parcel,dgfip
"62",Address6088044330331582,Address,"4",,Rue Froment,"75111",parcel,dgfip
"63",Address3388044328252746,Address,"22",,Boulevard Beaumarchais,"75111",parcel,dgfip
"64",Address4188044324561423,Address,"45",,Rue Saint-maur,"75111",parcel,dgfip
"65",Address3488044321333163,Address,"37",,Boulevard de Ménilmontant,"75111",parcel,dgfip
"66",Address3988044320484131,Address,"5",,Rue du Moulin Joly,"75111",entrance,ign
"67",Address5788044319590586,Address,"32",P,Rue Emile Lepeu,"75111",parcel,dgfip
"68",Address8088044319021090,Address,"12",,Rue Emile Lepeu,"75111",entrance,ign
"69",Address1688044318361416,Address,"10",,Rue de Crussol,"75111",entrance,ign
"70",Address2388044317316993,Address,"12",,Rue Rochebrune,"75111",entrance,ign
"71",Address5388044314484771,Address,"52",,Rue de Montreuil,"75111",entrance,ign
"72",Address6588044311977086,Address,"26",,Boulevard Jules Ferry,"75111",entrance,ign
"73",Address8888044309816889,Address,"290",,Boulevard Voltaire,"75111",entrance,ign
